tail_num,dep_delay,arr_delay,isCraft,isCarrier
N17730,12.5,19.0,0.17869415807560138,0.5498281786941581
N17752,12.0,17.0,0.1783960720130933,0.563011456628478
N17753,11.0,19.0,0.2025931928687196,0.5364667747163695
N177AN,9.0,14.0,0.12234042553191489,0.6436170212765957
N177DN,5.0,4.0,0.03488372093023256,0.8023255813953488
N177DZ,6.0,5.0,0.03225806451612903,0.7741935483870968
N177SY,4.0,9.0,0.13214739517153748,0.7052096569250318
N177US,9.0,10.0,0.14074074074074075,0.7240740740740741
N177XF,12.0,13.0,0.22077922077922077,0.6753246753246753
N178DN,8.5,8.5,0.017857142857142856,0.7678571428571429
N178DZ,9.0,5.0,0.015384615384615385,0.8461538461538461
N178JB,22.0,22.0,0.23559322033898306,0.6059322033898306
N178SY,3.0,9.0,0.12203791469194313,0.7109004739336493
N178US,10.0,10.0,0.14665249734325186,0.7247608926673751
N17963,4.0,12.0,0.10714285714285714,0.7142857142857143
N17984,9.0,16.0,0.16,0.5842424242424242
N179DN,7.0,8.0,0.037037037037037035,0.8395061728395061
N179JB,20.0,21.0,0.2543786488740617,0.6046705587989991
N179SY,4.0,9.0,0.13729977116704806,0.7105263157894737
N179UW,9.0,10.0,0.14895833333333333,0.703125
N180DN,9.0,-1.0,0.014705882352941176,0.8529411764705882
N180US,10.0,10.0,0.1510164569215876,0.7221684414327202
N18101,20.0,23.0,0.27007299270072993,0.5656934306569343
N18102,18.0,21.0,0.2521655437921078,0.591915303176131
N18112,7.0,12.0,0.12205567451820129,0.6509635974304069
N18114,13.0,21.0,0.23461195361284568,0.5816235504014273
N18119,13.0,13.0,0.145610278372591,0.6359743040685225
N18120,18.0,22.0,0.2596830985915493,0.5633802816901409
N181DN,6.5,5.0,0.011111111111111112,0.8555555555555555
N181GJ,14.0,14.0,0.20225988700564973,0.6429378531073446
N181PQ,16.0,16.0,0.2258748674443266,0.5970307529162248
N181SY,4.0,10.0,0.14199759326113118,0.6979542719614922
N181UW,9.0,9.0,0.1626746506986028,0.7135728542914171
N18220,10.0,11.0,0.12845528455284552,0.6487804878048781
N18223,6.0,13.0,0.18003273322422259,0.5957446808510638
N18243,9.0,13.0,0.1723076923076923,0.6153846153846154
N182DN,6.0,8.0,0.07547169811320754,0.6792452830188679
N182GJ,17.5,17.0,0.24461206896551724,0.5948275862068966
N182SY,3.0,10.0,0.14606741573033707,0.6816479400749064
N182UW,11.0,10.0,0.1568627450980392,0.7274509803921568
N183AN,10.0,13.0,0.1162227602905569,0.7215496368038741
N183DN,10.0,8.0,0.05194805194805195,0.7922077922077922
N183GJ,13.0,13.0,0.1872871736662883,0.662883087400681
N183JB,20.0,21.0,0.2318840579710145,0.6191626409017713
N183SY,4.0,9.0,0.12360939431396786,0.7330037082818294
N183UW,11.0,12.0,0.15725047080979285,0.7033898305084746
N184AN,9.0,13.0,0.10472279260780287,0.7084188911704312
